,InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
10,1f7d9fa2-2191-49de-bdd1-7d307293b9e0,trish hate outdoor .,her friend convinc go camp .,she n't good time .,they show fish show star .,eventu trish grudgingli came accept natur .,the fish interest mate habit .,1
11,8b5fd74e-bb54-48f7-8c50-ea9cf30a7fbc,A man walk corey pump ga car .,the guy admir corey 's car start convers .,corey felt someth wrong .,"when finish pump ga , man punch corey .",corey n't mind .,"when corey came , man car gone .",2
12,736f326b-48ea-439b-821b-6365e38773e9,marci receiv valentin boyfriend .,It card gift card chocol .,she happi immedi order chocol .,her boyfriend came ask like .,marci gave boyfriend big kiss said ye .,marci shrug shoulder reach TV remot .,1
13,caa0244b-9388-409e-b50a-5e305336e540,cara went food cart philadelphia day .,she stop amaz falafel cart .,the food amaz .,cara could n't believ good .,cara told owner food aw .,cara decid eat food cart everi week .,2
14,a7905e16-15be-433f-bdef-b488a83e4582,toni happi go first cruis .,He arriv dock readi luggag .,when walk around corner could n't believ size .,He board ship left dock .,toni enjoy go cruis .,toni scare ocean .,1
15,52dbbfda-5b42-4ace-8d59-55cee3eb30c0,ignacio want play sport colleg .,"sinc good swimmer , decid tri swim team .",ignacio make onto team easili .,"At first swim meet , ignacio win second place !",ignacio gave swim .,ignacio silver medal .,2
16,1edf348d-6fce-4ea3-937c-28ade02f28b8,danni bought boat .,hi nearbi marina race .,He decid enter .,danni best friend man boat .,danni decid go sleep .,they prepar start race .,2
17,0fe46de6-6ee3-4932-a578-268917372566,"At school , mari receiv assign write essay panda .","luckili , mari love panda , excit get start .","As soon got home , mari boot comput began .",she wrote knew research littl !,mari dislik panda .,mari could n't wait present report .,2
18,625d1e13-8bd3-40b3-ac45-0b16a549fc69,ellen dream win prize rose .,she plan enter special purpl rose fair .,she fertil rose bush cover night .,the rose grew beauti everi day .,ellen end win prize .,ellen pay replac fee librari card .,1
19,aa615e4f-83c1-4b65-96a4-6a989d253a52,jess start fifth grade .,"He tri make friend boy , could n't .",He decid make friend girl instead .,they girl welcom social group happili .,"jess went park new friend , roger .",jess pick boy school .,2
20,fa0d318c-d286-4c8e-adda-c2590f100f02,tiffani get overwhelm work .,"while like job , long break .","one day , trip outsid uneven pavement .",she broke ankl work coupl month .,tiffani went work next day .,she pain happi go work .,2
21,501c6884-8885-4df3-ae8c-f3f9328fde54,gina misplac phone grandpar .,It n't live room .,she car nap live room .,she grab dad 's key ran outsid .,but n't want phone anymor .,she found phone car .,2
22,8d9f72c4-7f31-4e86-8511-e921fd8f78bb,alic get marri week .,"one night , mother call forgot call back .",her mother left angri messag phone .,she threaten come wed .,alic call mother apolog profus .,alic messag cute guy saw tinder .,1
23,ba87797c-dc31-402b-8740-d30c093d4df7,ted love go movi .,He see almost everyon vote oscar .,He big parti oscar place bet .,ted almost alway win movi choos .,ted continu watch sever movi week .,He decid stop watch movi .,1
24,384621a9-d9b6-436d-8914-61a93d916015,nya ask paintbal trip friend .,she nervou go .,"but went anyway , hope fun .",she shot paintbal friend laugh whole time .,she love much plan trip next week .,she shot vow never go .,1
25,f531b039-67a6-4797-989d-24f716ed4073,all javier 's friend school smartphon .,"howev , still use old style flip phone .",one day decid buy smartphon .,At first love access internet everywher goe .,javier decid get smartphon .,but miss old phone .,2
26,60facd71-c194-427a-9127-471d5844785e,rachel decid donat blood local blood drive .,she littl nervou first time .,the next day rachel receiv call doctor saw .,the doctor told bad news .,rachel broke tear .,rachel start moonwalk excit .,1
27,d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,ron watch high-spe chase TV .,the cop chase bad guy neighborhood .,It terrifi !,but cop caught bad guy .,ron start collect bottl cap .,ron applaud offic 's perform .,2
28,8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,sam love old belt .,He match everyth .,unfortun gain much weight .,It becam small .,sam went diet .,sam happi .,1
29,696b1a71-b684-45ec-8435-7b48274ee411,larri bought new motorcycl .,He excit look cool .,the first time tri ride drop .,He hurt leg go hospit .,larri love go hospit .,larri becam care .,2
30,1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,I went blind date day ago .,she cute friendli .,We set co worker .,We seem thing common .,soon boyfriend girlfriend think marriag .,We broke right away .,1
31,9f32f9ef-0b7b-461b-953f-3d7da39bac87,sammi 's coffe grinder broken .,He need someth crush coffe bean .,He put coffe bean plastic bag .,He tri crush hammer .,sammi coffe .,It work sammi .,2
32,3972aeda-e5f8-4776-abbb-8566bf38930a,last week jare drive work .,He parti hard night .,He n't get sleep .,befor knew car face oncom traffic .,jare swerv quickli manag avoid collis .,jare decid acceler .,1
33,a5559b28-d55c-4973-b2ea-18768a60ed06,bobbi need get home work late one night .,He decid go hail taxi .,when taxi realiz knew driver .,On way home chat thing .,bobbi ask taken restaur .,bobbi found time pass quickli .,2
34,411b9523-5254-41ff-b740-e039d0423201,joe grew big batch pea garden .,He brought pea insid shell .,then cook big pot .,"He ad ham , bacon , carrot make thick pea soup .",joe thought work garden ate yummi soup .,joe dump pot outsid hate soup .,1
35,36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,aliza long lost ex-boyfriend bound find .,"the problem , move new state .",she decid use facebook find .,"she found , marri kid .","aliza sad , never contact .",He fell love aliza marri .,1
36,80b6447f-4c37-4194-9862-3785e5075463,lina went see candi cane made .,she watch worker ad dye hot candi .,"then , stretch make shini .","final , shape cane let cool .",lina knew candi cane bore .,lina felt new appreci candi cane .,2
37,dd3506fe-31ce-4bbb-9000-02c222da3466,"when I first move hous , I n't know neighbor .","while mow one day , I found kickbal yard .",I felt perfect opportun meet neighbor .,I grab ball went next door return .,they friendli .,I threw kickbal close window .,1
38,ad42188e-383b-4c7d-9cd9-906725b7ce12,bev studi hard .,she could n't wait weekend .,"when came , slept late .",then got went parti .,"By sunday night , bev exhaust .","bev got mail fed fish , like everi day .",1
39,74b4e567-5d81-42b7-8434-aabf5e9c0027,"newli marri , sue like cook husband .",unfortun sue terribl cook .,bob ate food anyway told good .,On first anniversari bob gave sue cook lesson .,she never cook .,she becam better cook .,2
40,f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We went frank pepe 's pizza shop three week ago .,the chain quit famou connecticut .,the chain recent open boston .,We went earli beat crowd .,We walk 5 growl dog park across town .,We great pizza frank pepe 's pizza shop .,2
41,dfdf2b81-86fa-48f0-8a47-488ccf3e086b,bernic alway want travel africa .,bernic decid would take trip birthday next year .,bernic start look price airlin ticket trip .,"In addit , bernic look price hotel well .",bernic went europ birthday .,bernic decid get airplan ticket reserv room .,2
42,de06c035-4c96-4ed0-89c2-3ce71e99e9d1,jim made spinach cooki .,He sold five dollar .,No one bought .,"howev , last minut man want twenti .",He surpris thank .,jim thought crazi left .,1
43,f547c9a1-be95-439d-922d-1417d7f6b818,randi 's friend gave direct hous .,He suppos take right white hous .,randi continu get lost .,He backtrack continu final found .,randi told friend reliev found .,randi saw hous kept drive n't come back .,1
44,195a43c7-d43e-48e4-845b-fd6c75609df2,I decid go bike ride brother .,We head morn .,We lot fun .,"suddenli , hit rock broke wheel !",watch brother crash fun .,I felt badli brother .,2
45,a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,anna went salon .,she get nail done first time .,"she nervou , tech friendli .",He nail quickli expertli .,anna felt fashion left salon .,anna realli like new hairstyl .,1
46,b8c30925-f572-4ac3-b865-1cba592b6f0c,david sarah friend childhood .,"when went colleg , move differ town .",sarah receiv unexpect call david friday .,they dinner talk live .,sarah glad abl catch .,sarah david went go get dinner right .,1
47,0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ mom groceri store .,Aj look cereal box look mom gone .,He immedi start feel panic .,then mom step behind display soup .,AJ began feel sad .,AJ let sigh relief .,2
48,fe3caede-4b19-410a-b08f-84d71b18e9f4,joe went junkyard find treasur .,He dug stack old cloth .,At bottom vintag shirt rock band .,joe put shirt tri .,joe happi shirt fit .,joe hate rock music afterward .,1
49,e689960d-0515-424b-aac3-5d7160ac2577,priya decid tri new restaur .,she drove new cafe open .,priya sat booth .,she order mimosa breakfast burrito .,priya thought food delici .,priya decid eat left .,1
50,57d5152a-77db-4156-8330-166edb36b0a2,karen assign roommat first year colleg .,"one day , roommat ask go nearbi citi concert .",karen agre happili .,the show absolut exhilar .,karen hate roommat .,karen becam good friend roommat .,2
51,726a0fc9-8c6f-451e-838b-c48140817dfc,We took famili vacat beach last year .,I spent lot time read mom beach .,"one day read , I got stung horribl beach wasp .","My arm swell pain , I almost go hospit .",eventu I heal .,I found I love swollen .,1
52,28f02d77-17f2-4ae0-bac9-3d6b48603662,john 's watch broken time .,He n't gotten togeth money fix .,hi wife decid take get fix pay .,she gave came home work .,john upset wife .,john excit .,2
53,696b9d6a-40a4-434d-8a01-aec20c4400a3,donald kind class clown .,He want class presid .,So figur act like idiot peopl would vote .,He would get yell foolish .,don hate elect .,donald hope foolish elect .,2
54,16eeb330-b579-4a0f-a1e6-0b7aad454c54,eddi angela n't talk long time .,they live hous togeth like stranger .,"final , sat agre , time divorc .",eddi went courthous file paperwork .,they divorc month later .,they fell back love stay togeth forev .,1
55,ed614284-2364-4b9c-bc02-5e0aad3d8968,rachel adopt cat ten year ago .,"suddenli , cat act letharg lose weight .","concern , rachel took cat vet .",the vet told rachel cat develop cancer .,rachel excit hear news .,the vet treat cat 's cancer best could .,2
56,87678fdf-ad4e-4ff0-93d0-039fa451b49b,jim new driver never pull .,yesterday pull speed .,the offic explain given ticket .,jim work overtim pay ticket .,jim upset .,jim happi see offic .,1
57,33882739-51ca-446f-8bd0-2bbf7cfcba37,I love avocado .,I ate sandwich cover .,"after I ate , mouth itchi tingli .",I talk doctor later .,"He said I paranoid , charg $ 100 .",It turn I allerg avocado .,2
58,3ef66340-b2fd-4c12-bc1c-b28730b571a1,david author troubl find inspir work .,one day dream post apocalypt world .,He thought destini began write thought .,eventu hundr page written .,david upload new video .,david manuscript publish .,2
59,26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,bori addict video game .,hi mother concern .,she call psychologist get help .,the psychologist tri convinc bori stop addict .,bori realiz wast life .,bori decid wear dress .,1
60,0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,A polic offic came flu today .,He unabl go work could bare get bed .,hi wife spent time take care make sure okay .,He made sure drink enough eat enough .,the polic offic give badg gun .,the polic offic eventu got better .,2
61,78eea25f-f831-409d-841a-1a3467f833b5,jennif felt stomach grumbl .,she thought last time ate realiz long ago .,she got couch went kitchen .,"after cook big meal eat , felt good .",jennif hungri anymor .,jennif want food .,1
62,1ad020f7-a18a-45f9-a112-b9ca83afcad2,My friend nathan famili went lake one summer .,one day nathan 's dad left n't leav lighter mom .,well mom upset made walk store barefoot .,poor nathan walk gravel road bring mom match .,"when nathan return , felt happi exercis .","when nathan return , mom apolog mean .",2
63,e829b3e7-8fec-4a34-a150-96381f7f0073,jeremiah look part time job help earn money .,A sandwich shop employ give flyer sandwich .,"jeremiah love job first , like meet new peopl .",eventu find tiresom outsid much .,jeremiah continu work outsid .,jeremiah reconsid career path .,2
64,127daf23-f8a3-45af-94c4-f94e72710727,two young women decid go ten mile run near afb .,"five mile run , spot lone grey wolf blue eye .","they tri scare away , kept move toward .",the two women clamber tree wait peopl came .,the peopl chase wolf away two women fine .,the two women fell cliff .,1
65,31dd2600-d4c3-4f15-a336-cd0c32237d06,gari brave child .,one day decid climb fenc backyard .,hi parent look .,they found sit swing park .,gari 's parent reliev find .,gari 's parent disappoint find .,1
66,a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,timmi caught unpaid park ticket .,He n't enough money pay .,instead arrest jail two day .,He lost job miss work .,timmi promot work much time .,"timmi find anoth job ,",2
67,a62e9212-e75b-4078-ae68-f56a1164dc70,"when I younger , I went summer camp .",We lot fun play game counselor .,My favorit thing play card .,the camp counselor knew mani differ card game .,My time minist use .,My favorit card game poker .,2
68,67cf2fb0-431a-404d-9c9f-826dd2d3472b,amber lot thing sunday .,she made list place need go .,she hurri get readi .,she worri would enough time .,amber enjoy relax two hour brunch .,amber hurri left list home .,2
69,dba303f0-ede3-4834-aad4-767eadafa744,eve need new couch parlor .,but could afford buy one !,then went secondhand store found great one .,she deliv set live room .,she bought new couch replac .,eve thought couch comfort .,2
70,7c183d9b-d1fd-414f-8c95-c17132422732,jason terrifi spider .,He went therapist discuss fear .,hi therapist said confront fear overcom .,jason 's homework look spider basement .,He found larg spider .,jason took hot shower .,1
71,5b6f539e-eb73-4ca4-b359-a1f85e96effd,linda began problem cowork job .,the cowork start boss around work .,the cowork even talk behind back .,linda went boss issu boss mediat .,her boss fire next day .,linda cowork end best friend .,2
72,cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,sara want kid great christma .,she save year start shop novemb .,she shop deal spent save .,she spent two day wrap dozen present .,all present wrap store holiday .,she return present cheaper one .,1
73,0f797de2-3d82-46d1-a370-c278a36ad785,megan struggl drug habit year .,she hit rock bottom lost famili kid .,her distant famili decid stage intervent .,"after event , got rehab facil .",she abl get drug time .,"when arriv , drug day .",1
74,6623b60e-9200-4019-9a95-521adc03524d,tyler unemploy year .,He spent last month dilig appli work .,"howev , applic reject .",the reject contribut tyler 's feel desper .,He thrill new respons work .,He realiz might appli public assist .,2
75,4624ac21-eb88-4b07-a052-cc6d3466736c,miranda marri bob .,bob n't like miranda work much .,miranda tell bob enjoy career wo n't quit .,bob give miranda ultimatum .,miranda quit job .,miranda decid take second job .,1
76,0819f0b4-3760-453b-b6d2-d61e7b36decd,My cousin 's terribl experi babysitt .,they hidden camera .,they found video shake babi violent .,the babi major problem .,they gave babi sitter good review .,they report babysitt polic .,2
77,57f0ad88-0dad-4cce-95da-30175ff0ba40,bobbi birthday parti .,hi friend bought huge cake .,A woman jump cake .,bobbi surpris amus .,bobbi good parti .,bobbi mad friend .,1
78,a5ac20db-ed05-49d7-8960-2035a9dce14d,It last day vacat .,We eat lunch patio hotel .,We laugh smile great vacat .,then pack bag drove airport .,We want revisit someday .,We vow never go back .,1
79,3f191c72-305c-487d-8da0-7335fedc270f,mother ask children help fold laundri .,the children took clean cloth live room .,they dump cloth floor .,they fold cloth neatli pile .,the cloth filthi unfold .,they put cloth neatli .,2
80,dacd5655-337c-4c89-a87f-edd54067cfb9,timmi love watch cartoon .,hi parent n't let watch unless chore .,today 's chore clean room .,timmi 's room mess .,timmi went mess hall breakfast .,timmi spent day clean could watch tv .,2
81,85cc4bad-5cd3-494f-be90-e3c16e512cab,My daughter babi shower boston home .,she invit friend famili area .,her old colleg roommat live hawaii .,she decid surpris daughter fli 4800 mile .,My daughter disappoint .,My daughter excit .,2
82,c94d227a-4fde-4a0f-acc7-359406c16a52,craig use alway go play dart .,He would go local bar tri hustl .,He would play bad first .,then would get make bet drink money .,craig one mani time patron beat .,craig poker match without much troubl .,1
83,7e12768d-0e37-4940-9dcf-186ba3916660,pam 's hous parti .,everyon bought gift .,pam bought cake .,everyon danc fun !,pam lousi hostess .,pam good hostess .,2
84,d10f40c6-f5f0-4273-82e0-90aa22520588,ellen alway hate school .,the kid made fun everi day .,they call smelli elli .,she decid start take bath .,ellen like neg attent .,ellen appal .,2
85,322525fb-6970-4c56-89ae-375664d8e320,jim got first credit card colleg .,He n't job bought everyth card .,"after graduat amount $ 10,000 debt .",jim realiz foolish spend much money .,jim decid devis plan repay .,jim decid open anoth credit card .,1
86,9bc05c17-a739-462c-970c-f5279779f3a5,tim enter bake contest .,He decid make famou donut .,He made big batch enter contest .,the judg thought delici .,the judg vomit tast donut .,tim bake contest .,2
87,9843660b-4a86-4cae-b6d7-03d73b88426e,My two year old son refus wear train pant .,He alway beg wear diaper .,"one day , frustrat , I let remain nake .",He went potti use I n't look .,now I n't tri make wear train pant .,child protect servic remov home .,1
88,e721d415-d8b9-479f-a476-bc3f3a239140,holli glad safe insid hous storm rage .,she watch storm heard loud crack .,lightn hit tree besid hous .,she stare watch fall .,she went outsid fli kite .,she reliev n't hit anyth .,2
89,9409bd0a-fbdd-4450-8b41-5aac05fd5c36,jill saw infomerci unbreak glass cup .,she amaz order .,"when jill receiv cup , want test .",she drop one hardwood floor .,It broke jill felt dumb believ hype .,"the cloth rip two , much jill 's surpris .",1
90,00d73c9e-6441-4b23-ad78-f33490a6a1ec,addi work mall hollist strang man came .,"befor knew , addi look behind saw stolen cloth .",addi got scare tri chase man .,luckili guard came arrest .,addi put jail crime .,addi reliev took deep breath calm .,2
91,a2685475-307b-49a3-85f8-07b32c63e062,sean go job interview .,He arriv busi ask manag .,the manag took back interview .,"then , manag show around explain job .",the manag hope sean would perform badli .,the manag want sean understand everyth .,2
92,1bfde41c-01ea-4af8-a5c3-706b8af6cec6,fred made bet sam could lose weight month .,"fred realli want win bet , $ 100 .","fred work daili , avoid fast food , skip dinner .",At end month fred feel confid would win .,fred cancel bet end month .,"fred end win bet , $ 100 .",2
93,749b0981-388d-4deb-83d4-b4bc35b4a168,john went skydiv first time .,He went instructor plane air .,He scream jump .,john terribl afraid height pass .,john love everi second skydiv trip .,"when woke , alreadi land .",2
94,7d9b0578-4621-460a-9d67-9705079b0a1c,gina famili leav park .,they afternoon .,now go aunt 's hous .,gina beg drop grandma 's,gina hate grandma .,gina love grandma .,2
95,71db6e1d-bcb4-4849-bded-f252a32c927c,kaya need buy new dress upcom spring formal .,she went mall sever friend .,the girl good time visit shop tri dress .,kaya found dress love nice coral color .,she could n't resist bought antiqu vase .,It kind expens decid worth .,2
96,41548819-7537-4bbe-8c20-ba78feb5fe0d,tyler want balloon parti ton balloon .,He friend parent blew balloon .,He friend play balloon lot fun .,they got tire watch movi dinner .,It fun day .,tyler felt like parent never let anyth .,1
97,e4443872-3ac9-465e-9d99-88ab9720da81,jimmi went skateboard afternoon .,It third time week .,He 's get good realli like .,He fell n't given .,"after practic week , jimmi learn new trick .",jimmi decid give away skateboard .,1
98,aa03cc32-e85b-4710-8120-aeaba4af65b0,maxin usual hate shave leg .,she n't like feel use razor .,one night maxin big date decid wear dress .,she shave leg occas .,maxin n't want go date .,maxin get laser remov next time .,2
99,bcde1c24-5e48-4ba9-a8b5-362db0db0129,ryan love custom bike .,He decid add led light bike frame wheel .,He order part ebay .,"when arriv , assembl .",ryan love bike look .,ryan decid ride bike anymor .,1
100,107793ec-8721-4897-b0de-17db3578fc10,one day I want cook nice dinner famili .,I decid cook spaghetti .,I boil noodl put sauc pot stove .,I turn stove high .,the sauc burn stuck bottom pan .,It took forev sauc heat .,1
101,0f36f4a6-da40-4c61-a4cc-db237df8f1b6,nick challeng volleybal match .,hi girlfriend bet five dollar could beat .,nick intend let win !,He play hard mercilessli .,nick beat girlfriend gave five dollar .,nick gave n't care girlfriend .,1
102,ae91c584-b9d3-4a0e-b166-6928531d1bed,some friend I made counter-strik team .,We practic lot upcom tournament .,We got tournament went strategi .,We play tough 6 game .,We felt pleas perform .,We felt perform badli .,1
103,bee259be-fcd9-4043-9047-0e199aaa8214,michel found fat tuxedo cat outsid hous .,she put poster neighborhood .,"after three week , one call michel cat .",michel decid keep cat .,michel gave cat neighbor .,"michel name cat , `` sock . ''",2
104,45896107-bb21-48b8-845d-619d8c19bc34,neil visit ireland .,hi train arriv derri .,"As disembark , caught breath .",It gorgeou fairi tale !,neil decid never return ireland .,neil enjoy ireland .,2
105,f36a34dc-1b78-4af1-9e48-5ec9d369feb5,mari went park .,she want show new dress .,A bird flew mari poop .,her dress becam cover bird poop .,mari happi show dress .,mari upset dress ruin .,2
106,49c51e74-be6e-45b9-a223-4c0835ad76c1,scott knew someon steal packag porch .,He set surveil camera near door .,He felt would least video thief .,"one day , scott saw footag perpetr .",scott gave high five .,scott apprehend perpetr .,2
107,2742baab-3956-415e-a1f2-024adc90cae6,last tuesday I took first spin class gym .,It hardest exercis class I ever took .,I work hour leg went numb .,when I got home leg start hurt I could n't walk .,I felt like I could run marathon .,I went bed rest morn .,2
108,f8594fc8-df33-49d7-a5a9-045765ca8eda,colin invit bar friend .,He love beer think 's expens bar .,He decid go anyway .,He gave budget .,colin stuck budget drank 2 beer .,colin drink beer bar night .,1
109,353ca466-413a-428c-8b62-8650edc88363,salli forgot breakfast left hous yesterday .,she debat whether go back get someth eat .,she decid pick meal way work .,she realiz money wallet buy breakfast .,salli forc go hungri .,salli bought larg breakfast .,1
110,ab1265ac-d06e-4bad-ba0e-0219d63d3357,jordan plan move mexico .,jordan decid learn spanish .,He end purchas languag learn program amazon .,everyday work program least 2 hour .,jordan knew convers spanish time move .,jordan n't like fish taco .,1
111,40113e9b-360c-4d2d-8969-10cab5ce76f4,ann tim love astrolog .,"In fact , met astronomi class colleg !","when marri becam pregnant , dilemma .",they could n't decid meaning name babi daughter .,tim anna decid would ask veterinarian .,"after lot search , tim anna found perfect name .",2
112,c71454d3-16c6-4852-bb0e-1149fd2b0e52,fred brand new exercis join gym .,He amaz expens person trainer .,He want get shape could n't afford rate .,He found person trainer routin onlin free .,He never work .,He happi decis .,2
113,d3615153-cfb9-4583-bd93-e1814c250a1c,It second match volleybal season .,ami hope would get chanc play .,after first game ahead .,her coach put game .,she final got chanc play match .,she ask coach find someon els .,1
114,1be803ad-225f-4b93-a5ce-3d96deedc495,ellen four miscarriag row .,her husband tim despair ever becom dad .,then doctor call work .,He told great news ellen .,the doctor told tim emili went run .,the doctor told tim ellen final pregnant .,2
115,b64b9a40-4e69-4381-ae49-035edf71a232,david ask mother could pour drink .,"hi mother agre , warn care .",david accident knock glass shatter everywher .,hi mother cheer forgav david .,david ate cheeseburg .,david promis care futur .,2
116,e5ce589a-86a4-4f4e-9a51-87220abdf821,neil want play hockey .,He borrow gear friend .,then gear head rink .,He practic day .,neil play basebal .,neil play competit .,2
117,4803b3ac-1aa0-483b-a79c-2918ff401adf,I kept babi blanket good shape .,I 30 year .,I move away home .,My babi blanket disappear .,I still miss babi blanket .,I sleep babi blanket everi night .,1
118,e2f74079-bcd6-485a-80c6-24be4fca4ae9,My friend cam amazon booksel .,"He 4,000 book store garag .",He made enough money live simpli .,hi hous caught fire one day lost collect .,cam sinc decid insur belong .,"afterward , cam abl sell book ever .",1
119,c473c07a-630f-48e2-b6dd-ebb34d815fc2,rosi 's teacher 's birthday come 5 day .,rosi money buy present .,she ask grandmoth teach draw sunflow .,rosi drew big sunflow paint watercolor .,rosi 's teacher love gift .,rosi 's teacher gave detent .,1
120,a0af24f7-ece4-41c0-8411-9c36d5196134,jon 's fridg broken .,He call servic compani repair .,they told could come next day noon .,"jon met door arriv , let .",the compani fix televis .,the compani fix fridg .,2
121,8ae17467-e396-4f89-9d2a-eeade4539358,A man order antiqu clock ebay .,He receiv box contain six blown fuse jar pickl .,He file complaint ebay .,ebay refus process refund .,the man furiou .,ebay reput compani .,1
122,8e61c1c5-582f-4379-b332-dcb96faf3bf9,tom dick love truck .,they would go desert everi week .,they would kick dirt play around .,then tom 's truck broke .,"It cost lot money , got repair .",tom knew would expens repair boat .,1
123,a28a894f-ea54-438a-93c5-cae7e4564ec4,harri went theme park famili .,hi dad brother rode big roller coaster .,He rode smaller ride mom .,the famili ate restaur park .,harri n't like theme park .,harri great time park .,2
124,932e37d4-1305-4e54-8fee-ba649e7c7206,I present art .,My teacher fail although I everyth right .,He allow repeat present fail .,I believ I present correct stood .,My teacher suggest I pursu art school .,the teacher agre discuss .,2
125,f935f831-38bc-4b00-83c6-3891a4dacefc,leah hockey game .,all famili came cheer .,but got realiz short hand .,onli hand girl show play .,leah happi hear news .,the game cancel .,2
126,345e1032-0c47-48e6-9968-e04baa479d06,ava start notic wrinkl eye .,she bought expens wrinkl cream .,she appli everi night .,after month check eye care .,she decid buy toothpast .,she happi see wrinkl gone .,2
127,bb5695c6-6c1c-4de6-b56c-6b23077d3df5,harri shop lot onlin look buy new camera .,He research differ camera onlin decid buy one .,He made purchas camera arriv mail next week .,"when harri open packag , found camera damag .","annoy , contact retail complain damag .",harri spent even happili take pictur .,1
128,6ab897f0-4f61-40f1-afa6-e9485e44316d,jasper avoid get real job month .,He hate previou offic job .,one day see job open local butcher .,He appli success job butcher .,jasper quit job next day .,jasper enjoy cut dead anim .,2
129,1a2bead1-a985-44e6-966c-44c4a77afe37,"after gather item parti , I invit friend .",most excit come food !,It took hour arriv time .,after arriv began eat enjoy .,I could n't wait friend leav .,I love throw parti .,2
130,ed448375-accb-4425-b7ed-e5af03f0d477,tom fond longer happi job .,tom decid time find new job .,tom look want ad put applic .,tom went job interview talk lot peopl .,He final receiv job offer .,tom sad leav miser job .,1
131,0a0efb23-8cb3-4481-9ff4-e5c9d47fb914,linda invit british classmat 's home tea .,she decid bring someth show appreci .,"she found onlin recip lemon scone , bake .",the scone tasti proud hand hostess .,they great tea parti .,linda 's classmat want leav .,1
132,f747b29b-73ff-43c8-b06d-62f56ac0f67c,ashley got back tax return .,So decid go mall .,ashley roommat drove mall .,they went store store tri thing .,ashley could n't buy anyth broke .,they bought lot cloth .,2
133,5488ad4e-968e-4113-b3f1-23a27e40e52a,paul graduat high school .,He get accept colleg .,hi mom advis get job .,paul agre .,paul furiou mom .,paul got job .,2
134,0aa4d795-2af4-489d-84d2-a3476cfc9019,harvey 's roommat teas thin .,they egotist footbal player .,"they challeng harvey ping pong game , expect lose .",but know harvey nation rank player .,"harvey choke , lost everi match play .",they sat mouth open harvey beat .,2
135,666d1b41-7e20-41cc-b6a7-5bc3eb9ed7b7,I think yesterday I realiz I n't mathematician .,"I groceri store , restock next week .","I bought around twenti item , thought I budget .","when I went check , I ten dollar !",I realiz I good math .,then I knew I great math !,1
